,median,mean,std,lower_95,upper_95,lower_90,upper_90,lower_68,upper_68
17121,3.344891256013951,3.3448912560139514,4.440892098500626e-16,3.344891256013951,3.344891256013951,3.344891256013951,3.344891256013951,3.344891256013951,3.344891256013951
17122,2.907914771015838,2.907914771015839,8.881784197001252e-16,2.907914771015838,2.907914771015838,2.907914771015838,2.907914771015838,2.907914771015838,2.907914771015838
17123,3.8143340399993777,3.8143340399993786,8.881784197001252e-16,3.8143340399993777,3.8143340399993777,3.8143340399993777,3.8143340399993777,3.8143340399993777,3.8143340399993777
17124,3.008370623925868,3.0083706239258685,4.440892098500626e-16,3.008370623925868,3.008370623925868,3.008370623925868,3.008370623925868,3.008370623925868,3.008370623925868
17125,3.3872091135695803,3.3872091135695808,4.440892098500626e-16,3.3872091135695803,3.3872091135695803,3.3872091135695803,3.3872091135695803,3.3872091135695803,3.3872091135695803
17126,3.408131112332005,3.408131112332006,8.881784197001252e-16,3.408131112332005,3.408131112332005,3.408131112332005,3.408131112332005,3.408131112332005,3.408131112332005
17127,2.8814060830908996,2.8814060830909005,8.881784197001252e-16,2.8814060830908996,2.8814060830908996,2.8814060830908996,2.8814060830908996,2.8814060830908996,2.8814060830908996
17128,3.260303082201549,3.260303082201548,8.881784197001252e-16,3.260303082201549,3.260303082201549,3.260303082201549,3.260303082201549,3.260303082201549,3.260303082201549
17129,2.957616800144087,2.9576168001440872,4.440892098500626e-16,2.957616800144087,2.957616800144087,2.957616800144087,2.957616800144087,2.957616800144087,2.957616800144087
17130,3.905002945431369,3.9050029454313697,8.881784197001252e-16,3.905002945431369,3.905002945431369,3.905002945431369,3.905002945431369,3.905002945431369,3.905002945431369
17131,2.917931036291648,2.917931036291648,0.0,2.917931036291648,2.917931036291648,2.917931036291648,2.917931036291648,2.917931036291648,2.917931036291648
17132,3.0414393854003023,3.0414393854003023,0.0,3.0414393854003023,3.0414393854003023,3.0414393854003023,3.0414393854003023,3.0414393854003023,3.0414393854003023
17133,3.225755258199605,3.225755258199605,0.0,3.225755258199605,3.225755258199605,3.225755258199605,3.225755258199605,3.225755258199605,3.225755258199605
17134,3.1523768950958675,3.152376895095868,4.440892098500626e-16,3.1523768950958675,3.1523768950958675,3.1523768950958675,3.1523768950958675,3.1523768950958675,3.1523768950958675
17135,2.9148928045829665,2.914892804582967,4.440892098500626e-16,2.9148928045829665,2.9148928045829665,2.9148928045829665,2.9148928045829665,2.9148928045829665,2.9148928045829665
17136,3.239833669910387,3.2398336699103876,4.440892098500626e-16,3.239833669910387,3.239833669910387,3.239833669910387,3.239833669910387,3.239833669910387,3.239833669910387
17137,3.0447273392391314,3.0447273392391314,0.0,3.0447273392391314,3.0447273392391314,3.0447273392391314,3.0447273392391314,3.0447273392391314,3.0447273392391314
17138,2.76902674913115,2.76902674913115,0.0,2.76902674913115,2.76902674913115,2.76902674913115,2.76902674913115,2.76902674913115,2.76902674913115
17139,3.8564225309655353,3.8564225309655367,1.3322676295501878e-15,3.8564225309655353,3.8564225309655353,3.8564225309655353,3.8564225309655353,3.8564225309655353,3.8564225309655353
17140,2.665960325057109,2.665960325057109,0.0,2.665960325057109,2.665960325057109,2.665960325057109,2.665960325057109,2.665960325057109,2.665960325057109
17141,5.602502827162471,6.088680920556703,1.6069695910333124,4.817927207011901,11.013827047294926,4.8616975064718675,9.293250042168502,5.0287686959264,6.879806469851155
17142,3.7917643156399423,3.791764315639943,8.881784197001252e-16,3.7917643156399423,3.7917643156399423,3.7917643156399423,3.7917643156399423,3.7917643156399423,3.7917643156399423
17143,3.1466679536791857,3.146667953679185,8.881784197001252e-16,3.1466679536791857,3.1466679536791857,3.1466679536791857,3.1466679536791857,3.1466679536791857,3.1466679536791857
17144,2.8792746857522933,2.8792746857522933,0.0,2.8792746857522933,2.8792746857522933,2.8792746857522933,2.8792746857522933,2.8792746857522933,2.8792746857522933
17145,3.3165956926900573,3.3165956926900573,0.0,3.3165956926900573,3.3165956926900573,3.3165956926900573,3.3165956926900573,3.3165956926900573,3.3165956926900573
17146,3.6222493597935235,3.622249359793523,4.440892098500626e-16,3.6222493597935235,3.6222493597935235,3.6222493597935235,3.6222493597935235,3.6222493597935235,3.6222493597935235
17147,3.068767482639217,3.068767482639217,0.0,3.068767482639217,3.068767482639217,3.068767482639217,3.068767482639217,3.068767482639217,3.068767482639217
17148,3.142721487873648,3.1427214878736485,4.440892098500626e-16,3.142721487873648,3.142721487873648,3.142721487873648,3.142721487873648,3.142721487873648,3.142721487873648
17149,3.5465474963206107,3.546547496320611,4.440892098500626e-16,3.5465474963206107,3.5465474963206107,3.5465474963206107,3.5465474963206107,3.5465474963206107,3.5465474963206107
17150,5.9040860417547805,6.108455342783986,1.061517934407498,4.8494132791508076,8.554010239831168,4.910394060877869,7.965335523819816,5.158796992913425,7.003792406745198
17151,3.807119047604125,3.8071190476041243,4.440892098500626e-16,3.807119047604125,3.807119047604125,3.807119047604125,3.807119047604125,3.807119047604125,3.807119047604125
17152,5.568794159910064,5.812567209304447,0.9663895880860923,4.819206267358705,8.204225986093933,4.858616984790355,7.555655083537521,5.024383883553814,6.561537279367394
